mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error,sample_id,shape,num_nodes,inference_seconds,training_seed,model,parameter_count,config_hash,train_best_epoch,train_best_validation_mae,train_training_seconds,train_peak_gpu_memory_bytes,condition,source_file
0.0425178797828239,2.028233436963448,0.2098389714956283,0.1191470265388488,0.1764610849134624,sample_00328,two_hole,1185,0.0023264791816473,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0556439871312977,0.7257670166511332,0.374491386115551,0.1714455868350342,0.2837299376842573,sample_00329,two_hole,1311,0.002350335009396,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0577763359001296,0.8525908938662322,0.313271817722125,0.1686746270424919,0.2304183381464099,sample_00330,two_hole,1621,0.002361549064517,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0512812463211862,0.5975752766899335,0.394950695335865,0.1649644583463668,0.2351947101977566,sample_00331,two_hole,1375,0.0023654364049434,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0529800065677999,0.4398172282695839,0.3323046565055847,0.1686939665116369,0.2446971441383365,sample_00332,two_hole,1435,0.0023512197658419,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0566291664056705,1.054988252863298,0.3061214387416839,0.1564732229569926,0.2108415330108254,sample_00333,two_hole,1599,0.0023559983819723,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0473012504805944,0.6722545163880242,0.3422469794750213,0.1495211396366356,0.2658253940939903,sample_00334,two_hole,1150,0.0023496402427554,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0520753249897221,1.15865569943275,0.2918901418433961,0.1434646631736541,0.2159955503361198,sample_00335,two_hole,1357,0.0023306868970394,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.043017892284875,0.5102321910216171,0.345545083284378,0.1204777792096136,0.2656484588980669,sample_00336,two_hole,1344,0.002318843267858,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0383824151065553,0.2736043309750983,0.2470691502094268,0.1162649393081665,0.1873556256294242,sample_00337,two_hole,1221,0.0023145405575633,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0583896521746345,0.7023413759297802,0.3203971977345645,0.1664328965416643,0.2389224916696548,sample_00338,two_hole,1626,0.0023502940312027,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0559347955409861,1.0041680059204183,0.2678207270801067,0.1625839360989628,0.2152304099500179,sample_00339,two_hole,1608,0.0023343339562416,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0452720755118675,0.7219346982737503,0.4231963083148002,0.1247381215420318,0.1810542729706503,sample_00340,two_hole,1353,0.0023262426257133,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0408800423373778,0.3394980573378515,0.3235271275043487,0.1299840773688626,0.204643371105194,sample_00341,two_hole,1124,0.0023283939808607,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
0.0444187576420562,1.6316436379961394,0.2218806277960539,0.1181759513914585,0.1798574739322066,sample_00342,two_hole,1407,0.0023329285904765,46,mesh_backbone_residual_hddm,81348,836738cae8b3b983111b6130b63e06381252eedc88b97a9e493ef459431c9ddf,499,0.0353247787803411,285.4216159339994,33238528,mesh_backbone_control,outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/metrics.csv
