training_seed,shape,mae_control,relative_l2_control,max_abs_error_control,p95_abs_error_control,p99_abs_error_control,mae_residual,relative_l2_residual,max_abs_error_residual,p95_abs_error_residual,p99_abs_error_residual,mae_improvement_control_minus_residual,relative_l2_improvement_control_minus_residual,max_abs_error_improvement_control_minus_residual,p95_abs_error_improvement_control_minus_residual,p99_abs_error_improvement_control_minus_residual
41,c_shape,0.062041805918026244,0.6224845053535685,0.3852819366182848,0.19685918637152092,0.29520566688925814,0.06048211575153524,0.6137297957780522,0.34355070470208376,0.1926163273258992,0.2741539194323958,0.001559690166491004,0.008754709575516273,0.04173123191620104,0.004242859045621716,0.021051747456862335
42,c_shape,0.08335108731171724,0.8546616826838078,0.47462602783616603,0.22734941974155073,0.3528295122405884,0.07060142122504057,0.7149209320656624,0.3617523435234034,0.20644031404677488,0.2886537821305624,0.012749666086676673,0.1397407506181454,0.11287368431276262,0.02090910569477586,0.06417573011002597
43,c_shape,0.07418802771521006,0.7526367283002153,0.4271793787227921,0.2206688745142214,0.33028264008957364,0.058861503080391044,0.5626730066934806,0.36283005427227183,0.198524445498383,0.2881533500850597,0.015326524634819018,0.1899637216067347,0.06434932445052027,0.022144429015838407,0.04212929000451393
44,c_shape,0.09960668657937352,1.1003392116200952,0.697072732520393,0.3215541574070332,0.5207734222051291,0.06507940901359548,0.6263968334592014,0.360194030503373,0.20872948904898173,0.2913113842149494,0.034527277565778045,0.4739423781608938,0.33687870201702,0.11282466835805147,0.22946203799017972
45,c_shape,0.07232975385897979,0.7713273532972502,0.4696222145723004,0.23516382702595834,0.35900987854866384,0.0669079040324901,0.6168508985766283,0.3423975837964099,0.19223686927745248,0.273036553126703,0.005421849826489689,0.15447645472062188,0.12722463077589052,0.042926957748505856,0.08597332542196084
46,c_shape,0.06598324276583917,0.6751050409228454,0.4046247851122462,0.2142884361477934,0.31209484152916944,0.05826700679863304,0.5476519406233428,0.335393347304528,0.18636472045928162,0.26586150450235385,0.0077162359672061295,0.12745310029950263,0.06923143780771818,0.027923715688511763,0.04623333702681559
47,c_shape,0.07847175742323369,0.860138929983464,0.5609104560202066,0.26554211542472933,0.42037237217952916,0.06349046346908502,0.579984465636013,0.34082223403805983,0.18560700480223083,0.26626774803370934,0.01498129395414867,0.28015446434745095,0.22008822198214678,0.0799351106224985,0.15410462414581982
48,c_shape,0.07419600788869898,0.758767304981414,0.4417610581988396,0.2294471184621579,0.3388864237456572,0.06508519394043588,0.6402380441202083,0.3459073007996403,0.2050291450666922,0.2844644743680619,0.009110813948263102,0.11852926086120563,0.09585375739919927,0.024417973395465697,0.05442194937759531
49,c_shape,0.0704962076327421,0.6725694437075301,0.381895276284049,0.20876387892140266,0.3023847176720218,0.06112576033227146,0.6011660920009778,0.35948626079114204,0.20008091758991195,0.29150462098397223,0.009370447300470638,0.07140335170655232,0.02240901549290697,0.008682961331490713,0.010880096688049568
50,c_shape,0.07377580051893136,0.7459266866817544,0.4729446617581789,0.23958605633365246,0.3633196189410631,0.062493517237714666,0.5949373778450585,0.329484975855969,0.18594019058880448,0.265242247785748,0.011282283281216693,0.15098930883669592,0.14345968590220992,0.053645865744847976,0.09807737115531512
51,c_shape,0.07164812858419306,0.6740039621038005,0.40988920095405773,0.2106638310773588,0.3150080067614374,0.05829569048804851,0.5566842362546448,0.3610657434376003,0.20372250339921738,0.29784693757504754,0.013352438096144552,0.11731972584915573,0.04882345751645745,0.006941327678141429,0.017161069186389877
52,c_shape,0.06999046476579786,0.6862325674000457,0.41245766196023853,0.22357288596348968,0.3236108463900216,0.06094443798393157,0.5691657318518695,0.34901349721439145,0.1978929754564571,0.28191518405980687,0.009046026781866286,0.1170668355481762,0.06344416474584708,0.025679910507032583,0.04169566233021471
53,c_shape,0.06697796422396918,0.7140078739847443,0.4777288374273485,0.2140564900340661,0.34225945898755633,0.058093124364989805,0.5622318399851158,0.3538760725974274,0.1856180617396744,0.277653571518706,0.008884839858979372,0.15177603399962847,0.12385276482992108,0.028438428294391693,0.06460588746885032
54,c_shape,0.08384187319706532,0.8408177428798134,0.48897663030377314,0.25377453899371966,0.3753968154759308,0.07207686486662469,0.7132383965371046,0.3565751218240189,0.21633385258133891,0.29271533528328253,0.011765008330440627,0.12757934634270873,0.13240150847975424,0.03744068641238074,0.08268148019264826
55,c_shape,0.08357056442565115,0.8512107327291325,0.4181408115454367,0.23155453579223742,0.3237944180748433,0.0661522286721589,0.6391854488068666,0.3252012916824606,0.189487496951737,0.2624383618711319,0.017418335753492248,0.21202528392226594,0.0929395198629761,0.04206703884050042,0.06135605620371143
56,c_shape,0.07398464526567347,0.7748358497229471,0.4369792579944692,0.24012116061138739,0.3463229882629161,0.06720383795913618,0.6409996782887296,0.34459189890821335,0.20413997493082486,0.28306675643493057,0.006780807306537295,0.13383617143421744,0.09238735908625584,0.03598118568056252,0.06325623182798551
57,c_shape,0.07875970769607839,0.8418765968606517,0.48388388133986154,0.24259693137356092,0.36824637320225606,0.058997658090414795,0.5895098265245509,0.3426987503129931,0.18043091200322764,0.2664916734697431,0.019762049605663592,0.2523667703361009,0.14118513102686847,0.06216601937033328,0.10175469973251294
58,c_shape,0.07986063562776749,0.8579893070326421,0.5539082170874963,0.2679199882674823,0.41353061338334596,0.06250324157313365,0.587705401604683,0.35297525043987205,0.1995696654469236,0.2831399128017354,0.017357394054633837,0.2702839054279591,0.20093296664762422,0.06835032282055872,0.13039070058161056
59,c_shape,0.08856590020038721,0.8913937440070846,0.4472985908149622,0.2393060730192856,0.3471645919292555,0.06361742083528926,0.6175840077590106,0.3688822877193161,0.20462700191752778,0.29867010521534965,0.024948479365097948,0.27380973624807403,0.07841630309564612,0.03467907110175783,0.04849448671390583
60,c_shape,0.06123906456510208,0.584873293708389,0.40387908098525716,0.19546867806542245,0.29674598685260234,0.06016160111652449,0.5589559997334821,0.3650527986177957,0.2083167602989506,0.29658266431354724,0.0010774634485775925,0.02591729397490694,0.03882628236746144,-0.012848082233528152,0.00016332253905509964
41,two_hole,0.044859820016416044,0.9689540796642252,0.2958252554225055,0.1358912465397622,0.20484931386031088,0.04549046887594261,0.9826520185725691,0.271834224228487,0.13788299355337214,0.20453287753252639,-0.0006306488595265655,-0.01369793890834392,0.023991031194018464,-0.0019917470136099347,0.00031643632778449726
42,two_hole,0.058852801805980084,1.2473753096018407,0.33966044777345816,0.16327133765756754,0.2430712680431499,0.05759566762765455,1.2585835025387306,0.3222594795842815,0.17430997276843382,0.24903309538645865,0.001257134178325535,-0.011208192936889905,0.017400968189176635,-0.01103863511086628,-0.005961827343308745
43,two_hole,0.057248986137686135,1.2746816844462057,0.40064200232207325,0.17247259098785087,0.2716700932767947,0.04870573406139238,1.0420145483859935,0.3036225090770858,0.14787980397700995,0.22636592744050965,0.008543252076293757,0.23266713606021217,0.09701949324498743,0.024592787010840916,0.04530416583628505
