model,shape,mae_mean,mae_std,mae_count,relative_l2_mean,relative_l2_std,relative_l2_count,max_abs_error_mean,max_abs_error_std,max_abs_error_count,p95_abs_error_mean,p95_abs_error_std,p95_abs_error_count,p99_abs_error_mean,p99_abs_error_std,p99_abs_error_count
fine_control,polygonal_holes,0.07896938195808287,0.0023115181399028565,20,0.9022665605189534,0.02085773858399457,20,0.7817282503301348,0.0823222724635224,20,0.4172696954431913,0.011358655705603422,20,0.5689026922702625,0.02011943919388084,20
fine_control,star_concave,0.10658152607260311,0.0030217115699918053,20,0.6068078882048012,0.018255777796635723,20,0.6550137116082478,0.1064851911124696,20,0.4036445910078938,0.01619663057091962,20,0.5025891209078883,0.022367912521216518,20
residual_v2,polygonal_holes,0.054379468107009,0.0031622150405461263,20,0.6951984801101847,0.02696356480037228,20,0.7606053390693851,0.027492350257806702,20,0.278695054383017,0.01643826740420354,20,0.5905084036583194,0.029213615584977093,20
residual_v2,star_concave,0.08164219535760496,0.0038957994465374365,20,0.529812771742016,0.026312022373232644,20,0.6558692279364914,0.024282084525364903,20,0.39769910963873245,0.023671228415153275,20,0.5707047338096238,0.026732415156098446,20
