model,training_seed,shape,sample_id,sample_file,sample_sha256,inference_seconds,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error,source_file
fine_control,41,slit_bridge,0,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0000.npz,30d9b3db72b5f04e7aed5aca69b177e736741d71d456678de2c366e94064976a,0.0445343600586056,0.1209817099396834,1.0145551932089498,0.8972073867917061,0.5895463638007641,0.7928575418889523,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,1,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0001.npz,35ca7668746e40038fbccaaf4b015e191d09a272260f8b2c67e05158beed58d9,0.0016679437831044,0.0951584349424839,0.6796837762917055,0.6441533863544464,0.4580359570682049,0.5451075151562689,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,2,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0002.npz,5aa31e0476a00717a676402ae73bf67f0900790fbaaba0689885a4f4d81b1d01,0.0017086369916796,0.101352638321016,0.7434768561685142,0.7396941110491753,0.4698093719780445,0.6232061989605426,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,3,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0003.npz,fa2249a12bd45ebd5bf12289d408b399125153ec7a74d5498b2d06c116f8f405,0.0022795861586928,0.123947528742887,1.1849727177477771,0.8722423538565636,0.5776718780398369,0.7832052141427989,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,4,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0004.npz,4006cdfdceb8abe632e2df62c467d010fb9761bec6322c363b9f3abbc55829d4,0.0022118976339697,0.1117620381863376,0.8395844492067455,0.8337560966610909,0.5749375857412815,0.7441052637994289,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,5,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0005.npz,1ea410d183d08cc06714b087bb528e626a67090d2f8931f1f61a73ddeff9902a,0.0017971787601709,0.1184156917202827,1.6024280405953022,0.93403609842062,0.5927072289632633,0.8015890667214982,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,6,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0006.npz,2b2b41c1ab84aefad645e09329749a0c4789e3a60b3931b89e053a383e66541e,0.0019281134009361,0.103965658057297,1.9351226811110371,0.9651340618729592,0.5068519185297191,0.7506867892574515,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,7,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0007.npz,e99898145655a5c1ce681d0eb3c7597d5032c10b823f0c114d9a1b16467ea524,0.0022351760417222,0.0709559600498423,0.4726465228799449,0.4936308562755584,0.3054623268544674,0.4150780923664567,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,8,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0008.npz,6e17a3aa2c3547f8d5c7c15a2ba8d09341c289bc2a2f8cc11cd61460dd0a75b4,0.0022201063111424,0.1082955241027603,0.7946168581230989,0.776621051132679,0.4840514250099659,0.644337148964405,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,9,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0009.npz,cc5b71a537246355e6aa5eb87b1ec934946edb1d31595b1d37e482e2b73e96e4,0.0022120093926787,0.0838718846273801,0.658915997522746,0.6682816445827484,0.3806838523596525,0.5241015315055846,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,10,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0010.npz,87874a0f11d5ca1214cb1c831735689324f5d265f0ad734b920d4aea56a205a8,0.0019343560561537,0.1052582149897892,0.9851079342153962,0.7176421284675598,0.5227873027324677,0.6431019455194471,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,11,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0011.npz,a23d58d483f0ee7d7d9ad82447d292fdde0c9f6964a6ce9759730ce9671620fc,0.0022197635844349,0.1239713134189206,1.1843067535273903,0.8854145780205727,0.5757220070809126,0.7986890289932486,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
fine_control,41,slit_bridge,12,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0012.npz,1bf5b6c8a99e6b1af341524d638c181408e613ec93db7fb6986f600e0e3c65a1,0.0019189305603504,0.0591692139088188,0.4708158644209414,0.4811781048774719,0.211691215634346,0.3246929466724395,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0041/metrics.csv
