model,training_seed,shape,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error
fine_control,41,slit_bridge,0.09622738784929184,0.8551622213718783,0.740804563742131,0.45077563757637107,0.6119854112318714
fine_control,41,three_hole_asymmetric,0.08737585329726177,0.9917930346970723,0.815429866645718,0.42098520872759765,0.6530895091139607
fine_control,42,slit_bridge,0.09870035608753894,0.8736932156456434,0.7419381223991514,0.45985317746555665,0.6000507081950779
fine_control,42,three_hole_asymmetric,0.09002751667353298,1.0260816039211222,0.8216706786735449,0.43399289323223456,0.6535568032151202
fine_control,43,slit_bridge,0.09672644656662685,0.8468227826514279,0.8344993379013613,0.42921111216746793,0.6087417590949623
fine_control,43,three_hole_asymmetric,0.09082097668986816,1.0149040454655276,0.9574450293287736,0.4194768756942085,0.6471415723101451
fine_control,44,slit_bridge,0.09825919403831476,0.8658311839555197,0.7756604015897028,0.4505975302003208,0.6205250497693775
fine_control,44,three_hole_asymmetric,0.0908337095227811,1.0123149847578186,0.8059010200278135,0.4265122598083508,0.640513676917704
fine_control,45,slit_bridge,0.09913491108794448,0.8599124597058896,0.8478981669252971,0.43696151342461237,0.6272398110209612
fine_control,45,three_hole_asymmetric,0.09147828910817093,1.0024589116992737,0.897019422477897,0.4112911126873769,0.6427989546004679
fine_control,46,slit_bridge,0.09799959212680448,0.8762118687812164,1.1062609306091327,0.44031341818194053,0.6246244634689352
fine_control,46,three_hole_asymmetric,0.09078515735368688,1.0157636428381147,1.086162538559147,0.42101134281742814,0.6424709842564222
fine_control,47,slit_bridge,0.09748473109911143,0.8618901895279497,0.7662469516694546,0.4471827196533195,0.6235472977503084
fine_control,47,three_hole_asymmetric,0.08856120237596166,0.9870874074980359,0.8158661261049565,0.4140773500509931,0.6288964523967913
fine_control,48,slit_bridge,0.09751310403827725,0.8423054122278636,0.7230406074598431,0.4379769090262562,0.5732803097061111
fine_control,48,three_hole_asymmetric,0.09087472140806156,1.0072267184812114,0.799941417996306,0.4218236863307175,0.6253963222840099
fine_control,49,slit_bridge,0.09395023637385222,0.8535771837986347,0.8099526716588161,0.4515292324904294,0.6269059727997808
fine_control,49,three_hole_asymmetric,0.0839554926914999,0.9843708775005153,0.8745845866023592,0.40275276554752054,0.6621040933015867
fine_control,50,slit_bridge,0.1013437850493092,0.8940837605689492,0.7314980674162507,0.47730162144449423,0.606159304622997
fine_control,50,three_hole_asymmetric,0.09211597375922105,1.0383083865892957,0.7961104378837627,0.43658082452942837,0.6556107221789422
fine_control,51,slit_bridge,0.09592967012779251,0.8497990303742029,0.8535694230389345,0.44063328535652546,0.6174608048478255
fine_control,51,three_hole_asymmetric,0.08569669954403919,0.9646268884045266,0.8202831095177681,0.403882223341916,0.6224265851984633
fine_control,52,slit_bridge,0.09886188076109961,0.8652902831963868,0.7404277262091636,0.4639670040070632,0.5944906708118503
fine_control,52,three_hole_asymmetric,0.09061920603439137,1.008177410617315,0.808899113239022,0.4355080901810652,0.6318618882614679
fine_control,53,slit_bridge,0.10000040766780616,0.8568655146981508,0.7403211110364646,0.445469999032357,0.5814076601536651
fine_control,53,three_hole_asymmetric,0.0918199884422293,1.0114441443804003,0.8203707291037426,0.43183889138366793,0.6248065407087485
fine_control,54,slit_bridge,0.10058982056755095,0.8648153009028745,0.726388751771301,0.4550715141172259,0.5834890699092645
fine_control,54,three_hole_asymmetric,0.09354086434013816,1.0229984863336183,0.7869995385222137,0.4249972964045446,0.6275607664183187
fine_control,55,slit_bridge,0.09969387067915539,0.8652247060166378,0.7394276701658964,0.44881666773580947,0.606737869682256
fine_control,55,three_hole_asymmetric,0.09003420293677954,0.9973444417142884,0.8025687473639845,0.41841029745189645,0.6245587501756742
fine_control,56,slit_bridge,0.10213067796138137,0.8816758611662956,0.7242831672774628,0.4715932452818379,0.590299711536907
