training_seed,shape,mae_control,relative_l2_control,max_abs_error_control,p95_abs_error_control,p99_abs_error_control,mae_candidate,relative_l2_candidate,max_abs_error_candidate,p95_abs_error_candidate,p99_abs_error_candidate,mae_improvement_control_minus_candidate,relative_l2_improvement_control_minus_candidate,max_abs_error_improvement_control_minus_candidate,p95_abs_error_improvement_control_minus_candidate,p99_abs_error_improvement_control_minus_candidate
41,c_shape,0.062041805918026244,0.6224845053535685,0.3852819366182848,0.19685918637152092,0.29520566688925814,0.060837514959022225,0.5900129092519596,0.31250895044111526,0.18328167824339153,0.2548116553180863,0.0012042909590040188,0.03247159610160888,0.07277298617716954,0.013577508128129384,0.04039401157117184
42,c_shape,0.08335108731171724,0.8546616826838078,0.47462602783616603,0.22734941974155073,0.3528295122405884,0.07197357943625653,0.7063979509579024,0.3580029685878253,0.20500427070596342,0.2839526615570943,0.011377507875460713,0.14826373172590546,0.11662305924834071,0.02234514903558732,0.06887685068349408
43,c_shape,0.07418802771521006,0.7526367283002153,0.4271793787227921,0.2206688745142214,0.33028264008957364,0.06343659868841042,0.5991665822159021,0.3235432100969774,0.18097567566508282,0.25638759630092417,0.010751429026799639,0.1534701460843132,0.1036361686258147,0.03969319884913858,0.07389504378864947
44,c_shape,0.09960668657937352,1.1003392116200952,0.697072732520393,0.3215541574070332,0.5207734222051291,0.062255810268186086,0.5781070468503513,0.33651898888770576,0.19022515171380414,0.265806140258917,0.037350876311187435,0.5222321647697439,0.3605537436326873,0.13132900569322906,0.2549672819462121
45,c_shape,0.07232975385897979,0.7713273532972502,0.4696222145723004,0.23516382702595834,0.35900987854866384,0.07819353473591922,0.7323272453965031,0.33642920682891597,0.2099510065824343,0.2789539690070654,-0.005863780876939437,0.03900010790074715,0.13319300774338444,0.025212820443524048,0.08005590954159841
46,c_shape,0.06598324276583917,0.6751050409228454,0.4046247851122462,0.2142884361477934,0.31209484152916944,0.060301677013718136,0.5621380570732619,0.3195723310221501,0.1830982316536395,0.2548614361069779,0.005681565752121032,0.11296698384958348,0.0850524540900961,0.031190204494153884,0.05723340542219152
47,c_shape,0.07847175742323369,0.860138929983464,0.5609104560202066,0.26554211542472933,0.42037237217952916,0.06921496905272526,0.6610113018689181,0.34645948256649717,0.20544385130276344,0.27882909566183145,0.009256788370508431,0.19912762811454587,0.21445097345370945,0.060098264121965894,0.1415432765176977
48,c_shape,0.07419600788869898,0.758767304981414,0.4417610581988396,0.2294471184621579,0.3388864237456572,0.07028805659786913,0.7047383902545179,0.3550899068693843,0.21253874232206266,0.289636171107783,0.003907951290829853,0.05402891472689608,0.0866711513294553,0.016908376140095244,0.04925025263787419
49,c_shape,0.0704962076327421,0.6725694437075301,0.381895276284049,0.20876387892140266,0.3023847176720218,0.06200076432947275,0.5730987203587732,0.3456530170244878,0.19171289560250457,0.2793600485731077,0.008495443303269352,0.09947072334875695,0.036242259259561205,0.017050983318898094,0.023024669098914097
50,c_shape,0.07377580051893136,0.7459266866817544,0.4729446617581789,0.23958605633365246,0.3633196189410631,0.0618942854939269,0.5825849959183895,0.3428619685799981,0.1885631408907211,0.27472998198235227,0.011881515025004459,0.1633416907633649,0.13008269317818077,0.05102291544293136,0.08858963695871086
51,c_shape,0.07164812858419306,0.6740039621038005,0.40988920095405773,0.2106638310773588,0.3150080067614374,0.05466420781982726,0.5447251898462399,0.3608402908042626,0.18613696538860908,0.28042177478896,0.0169839207643658,0.12927877225756068,0.04904891014979512,0.024526865688749733,0.0345862319724774
52,c_shape,0.06999046476579786,0.6862325674000457,0.41245766196023853,0.22357288596348968,0.3236108463900216,0.06696847915519694,0.6478037254978524,0.3634481595982561,0.21255008921116847,0.29695483390983607,0.003021985610600922,0.03842884190219331,0.04900950236198243,0.011022796752321207,0.02665601248018551
53,c_shape,0.06697796422396918,0.7140078739847443,0.4777288374273485,0.2140564900340661,0.34225945898755633,0.059601638824604876,0.5688250581950954,0.3504768261187813,0.19069079783585172,0.2802812284268941,0.007376325399364302,0.14518281578964887,0.12725201130856723,0.023365692198214383,0.061978230560662206
54,c_shape,0.08384187319706532,0.8408177428798134,0.48897663030377314,0.25377453899371966,0.3753968154759308,0.06426653202665882,0.5924876894393164,0.36130780769280024,0.20432093594556755,0.2903716675624503,0.019575341170406504,0.24833005344049697,0.1276688226109729,0.049453603048152106,0.08502514791348048
55,c_shape,0.08357056442565115,0.8512107327291325,0.4181408115454367,0.23155453579223742,0.3237944180748433,0.062432082575164305,0.6057258895608165,0.3145918795669058,0.18035253479095242,0.25236505319727726,0.021138481850486848,0.24548484316831598,0.10354893197853088,0.051202001001285,0.07142936487756607
56,c_shape,0.07398464526567347,0.7748358497229471,0.4369792579944692,0.24012116061138739,0.3463229882629161,0.0663264126941328,0.647793569881139,0.3621827080332764,0.20519709795004687,0.28877342231607683,0.007658232571540677,0.12704227984180805,0.07479654996119278,0.034924062661340516,0.05754956594683924
57,c_shape,0.07875970769607839,0.8418765968606517,0.48388388133986154,0.24259693137356092,0.36824637320225606,0.06153995319691487,0.6252354832438527,0.3655645296029252,0.19036247289527577,0.2834679906685771,0.01721975449916352,0.21664111361679905,0.11831935173693636,0.052234458478285145,0.08477838253367898
58,c_shape,0.07986063562776749,0.8579893070326421,0.5539082170874963,0.2679199882674823,0.41353061338334596,0.06267321528239657,0.5875736298094909,0.34056237439601317,0.1917709111722669,0.2719009235760256,0.01718742034537092,0.2704156772231512,0.2133458426914831,0.0761490770952154,0.14162968980732038
59,c_shape,0.08856590020038721,0.8913937440070846,0.4472985908149622,0.2393060730192856,0.3471645919292555,0.061673184857283625,0.6082256865563518,0.35548971102936777,0.1981864717412487,0.28451071672472567,0.026892715343103585,0.2831680574507328,0.09180887978559443,0.041119601278036905,0.06265387520452981
60,c_shape,0.06123906456510208,0.584873293708389,0.40387908098525716,0.19546867806542245,0.29674598685260234,0.056858758068632144,0.547521481636166,0.33584480221041757,0.17840776465553054,0.2607454126228502,0.004380306496469935,0.037351812072223045,0.06803427877483958,0.01706091340989191,0.036000574229752114
41,two_hole,0.044859820016416044,0.9689540796642252,0.2958252554225055,0.1358912465397622,0.20484931386031088,0.04643889403514931,0.9944478710922198,0.25849032760667795,0.13863930400276803,0.19848141964355576,-0.0015790740187332647,-0.025493791427994572,0.037334927815827534,-0.0027480574630058263,0.006367894216755127
42,two_hole,0.058852801805980084,1.2473753096018407,0.33966044777345816,0.16327133765756754,0.2430712680431499,0.04963078230227018,1.0822152954903401,0.2871513119933752,0.14905068308208905,0.21582587475530846,0.009222019503709905,0.1651600141115006,0.05250913578008298,0.014220654575478497,0.027245393287841452
43,two_hole,0.057248986137686135,1.2746816844462057,0.40064200232207325,0.17247259098785087,0.2716700932767947,0.0528239001238311,1.122375476124519,0.2922259099440179,0.15375088132775214,0.2236734913577931,0.004425086013855037,0.15230620832168662,0.10841609237805533,0.01872170966009873,0.0479966019190016
44,two_hole,0.07073587388975303,1.6926383411690715,0.5572770141889714,0.2288719637204965,0.38666017276354653,0.05323196737016363,1.1468912856524869,0.2754013783408663,0.15831362128410925,0.21648380738485826,0.0175039065195894,0.5457470555165846,0.28187563584810504,0.07055834243638726,0.17017636537868827
45,two_hole,0.05502459500942826,1.2374081946387392,0.39520211656229093,0.1751565169149656,0.27411584238023445,0.0592661995925734,1.2502373531472186,0.26502774814947766,0.1665367330574379,0.21999948933445354,-0.004241604583145139,-0.012829158508479432,0.13017436841281327,0.00861978385752768,0.05411635304578091
46,two_hole,0.04940970177041778,1.054626448639383,0.31831319722165513,0.14778729738615326,0.22209987511669138,0.04665922137371223,0.9919696443216192,0.2672496609522295,0.14165149268297886,0.20633955427549547,0.00275048039670555,0.06265680431776388,0.05106353626942561,0.006135804703174402,0.015760320841195913
47,two_hole,0.05608969466380568,1.295361584030872,0.45082180477919565,0.1811352826469347,0.3038950302132907,0.053211373380981426,1.1809768445418332,0.287356118204666,0.1686782119341722,0.23368696278149875,0.0028783212828242533,0.11438473948903893,0.16346568657452965,0.012457070712762502,0.07020806743179192
48,two_hole,0.05309544049210148,1.1787254853801874,0.35707635202811616,0.16262135292079144,0.2525722259535274,0.049826602199031414,1.0915224193525983,0.2892913283422331,0.15493783085404655,0.2248590398958419,0.0032688382930700643,0.0872030660275891,0.06778502368588307,0.007683522066744886,0.027713186057685496
49,two_hole,0.056609757983923856,1.213220393587305,0.31920889184564993,0.16283316110372692,0.23770250306159532,0.04897992264246445,1.036348633637509,0.2814874032546504,0.1446907983690625,0.2130051003069876,0.007629835341459404,0.17687175994979598,0.03772148859099955,0.018142362734664408,0.024697402754607717
50,two_hole,0.05398422647730964,1.1922901415693294,0.3706276756516854,0.16541709653669429,0.26749595467334014,0.04401519378351011,0.9447198458734815,0.2764540470612792,0.1385797565936753,0.20926831663914963,0.009969032693799527,0.24757029569584799,0.09417362859040623,0.026837339943018984,0.05822763803419051
51,two_hole,0.05151576394111105,1.1025778629893213,0.3355179492213483,0.15123558230974887,0.23920164903219965,0.03909721817101122,0.8223868169327578,0.2755190569212891,0.12112743965345424,0.1973911465814935,0.012418545770099827,0.2801910460565634,0.059998892300059226,0.030108142656294634,0.04181050245070614
52,two_hole,0.056780522053999485,1.251802749362478,0.34282331710670405,0.17045747774050907,0.24991969126026484,0.04209069770766447,0.9257393068392114,0.27017734103562246,0.1379055725415018,0.20892642176922668,0.014689824346335013,0.3260634425232666,0.07264597607108159,0.032551905199007275,0.04099326949103815
53,two_hole,0.04981477538690461,1.088618334395631,0.34364871455421053,0.15448807483100122,0.23546406212197726,0.04710619859213991,0.9905791776630418,0.27818388818302364,0.1403563450666053,0.20779771479409678,0.0027085767947647027,0.09803915673258923,0.06546482637118689,0.014131729764395917,0.02766634732788048
54,two_hole,0.06401432991016655,1.4153575266577538,0.43091668837616454,0.1877402854397983,0.29992281174118374,0.04947813756000007,1.0556256239881312,0.30263761295421315,0.14980227724282386,0.227083939476879,0.014536192350166476,0.3597319026696226,0.12827907542195138,0.03793800819697443,0.07283887226430474
