condition,shape,mae_mean,mae_std,mae_count,relative_l2_mean,relative_l2_std,relative_l2_count,max_abs_error_mean,max_abs_error_std,max_abs_error_count,p95_abs_error_mean,p95_abs_error_std,p95_abs_error_count,p99_abs_error_mean,p99_abs_error_std,p99_abs_error_count
mesh_backbone_control,c_shape,0.07564396630822187,0.009242152632972397,20,0.7765599278980597,0.1164702950143203,20,0.46245303490281786,0.0739156966201001,20,0.23391290917740154,0.02862036832793399,20,0.35236195966804096,0.052329253806530904,20
mesh_backbone_control,two_hole,0.05635623021063067,0.006368070546403799,20,1.2539072318652722,0.16911516889836695,20,0.38097347464471065,0.06552903372839244,20,0.17130136835107693,0.02080244096390438,20,0.2675198296458741,0.04181044953218235,20
rd_hddm_alpha001,c_shape,0.06387006275381595,0.005401663683091058,20,0.61327503019064,0.05396780492906938,20,0.3443474559979032,0.016734839667362864,20,0.19443853431344427,0.011268520563885285,20,0.27535608898339065,0.013451445068241238,20
rd_hddm_alpha001,two_hole,0.04882577042070575,0.0045435298850796954,20,1.0544159131665714,0.09911538540626406,20,0.2845647103736625,0.014500697022411795,20,0.14833185197925547,0.011084303698405285,20,0.2175292875905078,0.01076016289506614,20
