mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error,sample_id,shape,num_nodes,inference_seconds,training_seed,model,parameter_count,config_hash,train_best_epoch,train_best_validation_mae,train_training_seconds,train_peak_gpu_memory_bytes,alpha_tag,alpha,source_file
0.0383867112615372,1.6438996023831889,0.2605383843183517,0.1225904962513596,0.2018129342794403,sample_00354,two_hole,1267,0.0024043510202318,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.0471883924911756,1.8201338453510736,0.2047694679349661,0.1343827186501585,0.1617203353438525,sample_00355,two_hole,1316,0.0023744300124235,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.0459037799260105,1.5666205927632135,0.2446498498320579,0.1469468210212653,0.2027534687682054,sample_00356,two_hole,1474,0.0023560810368508,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.045582695943698,0.6919459809048459,0.2312051802873611,0.135843369970098,0.1746809792518619,sample_00357,two_hole,1485,0.002429052023217,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.0563258370791178,1.4755289815321966,0.2845194153487682,0.1663960024714469,0.2362569217756386,sample_00358,two_hole,1494,0.0024323599645867,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.0639736727713449,0.296044489343757,0.3896492719650268,0.208896519243717,0.2622659695148462,sample_00359,two_hole,1589,0.0024243240477517,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.0472249542866769,0.3569220875794304,0.229072269052267,0.1404523830860853,0.1939364786529041,sample_00360,two_hole,1611,0.0024209500406868,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.0651898473114835,0.5001685841154876,0.3934850096702575,0.2018929570913315,0.2770846860278109,sample_00361,two_hole,1262,0.0023848109995014,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.0400820150788769,0.2866455081104136,0.1971798837184906,0.1146833976730703,0.1445871418900787,sample_00362,two_hole,1298,0.0023739369935356,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
0.0515981894987688,2.1982243909483232,0.3241372015327215,0.1759857557713985,0.2739693716540932,sample_00363,two_hole,1600,0.0024317090283147,44,mesh_backbone_residual_hddm,81348,ea4b5a3ad3d077efefa5f3dbc61023695da888eafbd05db7d40cbecc17e3d2c9,499,0.0405454970896244,239.95344480196945,33651712,a010,0.1,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv
