mesh_id,dataset,split,seed,sample_index,sample_seed,shape,requested_interior_nodes,num_nodes,num_triangles,fine_directed_edges,fine_undirected_edges,boundary_nodes,source_x,source_y,source_sigma,target_max,target_l2_norm,mesh_generation_seconds,labels_npz,labels_npz_sha256,triangle_area_min,triangle_area_mean,triangle_area_max,triangle_area_cv,minimum_angle_deg,aspect_ratio_mean,aspect_ratio_max,method,partition_seconds,parmetis_library_edgecut,repair_seconds,repair_event_count,moved_nodes_total,moved_unique_nodes,moved_fraction,nonempty_parts,min_part_size,mean_part_size,max_part_size,part_size_sd,part_size_cv,imbalance_ratio,edgecut,disconnected_part_count,extra_component_count,disconnected_parts_json,coarse_directed_edges,coarse_undirected_edges
development_train_seed45_sample033_wavy,development,train,45,33,78,wavy,725,849,1510,4716,2358,184,0.459431543915161,0.7075676518947511,0.08867757381770551,0.9315184675189995,8.56080358803815,0.07065939204767346,paper_partition_evidence/mesh_archives/development_train_seed45_sample033_wavy.npz,d9f9f46f0923eb6a13721580488ae56c3687d7eb2513f54806852ff2d0538478,2.727906433722307e-06,0.00047921948527305733,0.0033642721212759695,0.898035332679749,0.297323349081673,3.7324765907022446,192.78097465874586,parmetis_repaired,0.45383316464722157,,0.004064804408699274,0,0,0,0.0,16,52,53.0625,54,0.6800735254367721,0.012816462199043997,1.017667844522968,303,0,0,{},64,32
development_train_seed45_sample034_rectangle,development,train,45,34,79,rectangle,707,863,1568,4860,2430,156,0.7098011936884276,0.2858113034032572,0.11500028801014225,1.5587506863005598,14.353951605090828,0.07327535981312394,paper_partition_evidence/mesh_archives/development_train_seed45_sample034_rectangle.npz,72cfafa0b228ad3519cecaada8cb03b4d1dcfa852a020c1a9d30bfafce62fe11,1.4514962558407487e-06,0.0006377551020408163,0.004014768217576474,0.9101032151536556,1.2757773180095664,3.3123735150652243,78.8498520855549,bfs_connected,0.0067351218312978745,,0.0,0,0,0,0.0,16,25,53.9375,71,13.781479117520973,0.25550830345345954,1.3163383545770568,426,0,0,{},64,32
development_train_seed45_sample034_rectangle,development,train,45,34,79,rectangle,707,863,1568,4860,2430,156,0.7098011936884276,0.2858113034032572,0.11500028801014225,1.5587506863005598,14.353951605090828,0.07327535981312394,paper_partition_evidence/mesh_archives/development_train_seed45_sample034_rectangle.npz,72cfafa0b228ad3519cecaada8cb03b4d1dcfa852a020c1a9d30bfafce62fe11,1.4514962558407487e-06,0.0006377551020408163,0.004014768217576474,0.9101032151536556,1.2757773180095664,3.3123735150652243,78.8498520855549,parmetis_raw,0.4426083639264107,296,0.0,0,0,0,0.0,16,53,53.9375,55,0.5737304826019501,0.010636949851252842,1.0196987253765932,296,0,0,{},66,33
development_train_seed45_sample034_rectangle,development,train,45,34,79,rectangle,707,863,1568,4860,2430,156,0.7098011936884276,0.2858113034032572,0.11500028801014225,1.5587506863005598,14.353951605090828,0.07327535981312394,paper_partition_evidence/mesh_archives/development_train_seed45_sample034_rectangle.npz,72cfafa0b228ad3519cecaada8cb03b4d1dcfa852a020c1a9d30bfafce62fe11,1.4514962558407487e-06,0.0006377551020408163,0.004014768217576474,0.9101032151536556,1.2757773180095664,3.3123735150652243,78.8498520855549,parmetis_repaired,0.44649349385872483,,0.0038851299323141575,0,0,0,0.0,16,53,53.9375,55,0.5737304826019501,0.010636949851252842,1.0196987253765932,296,0,0,{},66,33
development_train_seed45_sample035_wavy,development,train,45,35,80,wavy,746,864,1550,4826,2413,175,0.6182456656717269,0.2592093984132022,0.05738119110947553,0.5142038669990066,3.9296399595354203,0.07383724069222808,paper_partition_evidence/mesh_archives/development_train_seed45_sample035_wavy.npz,3a02a5497a45603443439517caab87657f8ae7db01238d4fe0d8ddc232c57784,3.105984951756348e-07,0.00046639915719057945,0.0032232473414956658,0.8958657425745346,0.40435908895970507,3.42061412726361,216.49503628859702,bfs_connected,0.00658108526840806,,0.0,0,0,0,0.0,16,37,54.0,62,9.128709291752768,0.1690501720694957,1.1481481481481481,458,0,0,{},66,33
development_train_seed45_sample035_wavy,development,train,45,35,80,wavy,746,864,1550,4826,2413,175,0.6182456656717269,0.2592093984132022,0.05738119110947553,0.5142038669990066,3.9296399595354203,0.07383724069222808,paper_partition_evidence/mesh_archives/development_train_seed45_sample035_wavy.npz,3a02a5497a45603443439517caab87657f8ae7db01238d4fe0d8ddc232c57784,3.105984951756348e-07,0.00046639915719057945,0.0032232473414956658,0.8958657425745346,0.40435908895970507,3.42061412726361,216.49503628859702,parmetis_raw,0.44558412907645106,312,0.0,0,0,0,0.0,16,52,54.0,55,1.2110601416389966,0.022427039659981416,1.0185185185185186,312,0,0,{},64,32
development_train_seed45_sample035_wavy,development,train,45,35,80,wavy,746,864,1550,4826,2413,175,0.6182456656717269,0.2592093984132022,0.05738119110947553,0.5142038669990066,3.9296399595354203,0.07383724069222808,paper_partition_evidence/mesh_archives/development_train_seed45_sample035_wavy.npz,3a02a5497a45603443439517caab87657f8ae7db01238d4fe0d8ddc232c57784,3.105984951756348e-07,0.00046639915719057945,0.0032232473414956658,0.8958657425745346,0.40435908895970507,3.42061412726361,216.49503628859702,parmetis_repaired,0.4496825411915779,,0.004098412115126848,0,0,0,0.0,16,52,54.0,55,1.2110601416389966,0.022427039659981416,1.0185185185185186,312,0,0,{},64,32
development_train_seed45_sample036_rectangle,development,train,45,36,81,rectangle,545,701,1244,3888,1944,156,0.467056645552816,0.3558141614822648,0.11428242574730507,1.850834915308215,15.23246132120085,0.060457088984549046,paper_partition_evidence/mesh_archives/development_train_seed45_sample036_rectangle.npz,6703f40436e9306334650864b0637dff61e874e707f57c136cfb79fe73d2d7cf,2.195605739562887e-06,0.0008038585209003215,0.0054877632896680765,0.9137970520355782,0.5787226012009864,3.4246371488007603,99.36070271314125,bfs_connected,0.005526649300009012,,0.0,0,0,0,0.0,16,17,43.8125,56,10.380871832365527,0.2369385867586996,1.2781740370898715,397,0,0,{},66,33
development_train_seed45_sample036_rectangle,development,train,45,36,81,rectangle,545,701,1244,3888,1944,156,0.467056645552816,0.3558141614822648,0.11428242574730507,1.850834915308215,15.23246132120085,0.060457088984549046,paper_partition_evidence/mesh_archives/development_train_seed45_sample036_rectangle.npz,6703f40436e9306334650864b0637dff61e874e707f57c136cfb79fe73d2d7cf,2.195605739562887e-06,0.0008038585209003215,0.0054877632896680765,0.9137970520355782,0.5787226012009864,3.4246371488007603,99.36070271314125,parmetis_raw,0.43796532275155187,272,0.0,0,0,0,0.0,16,42,43.8125,45,0.6551081335677849,0.014952539425227614,1.0271041369472182,272,0,0,{},62,31
development_train_seed45_sample036_rectangle,development,train,45,36,81,rectangle,545,701,1244,3888,1944,156,0.467056645552816,0.3558141614822648,0.11428242574730507,1.850834915308215,15.23246132120085,0.060457088984549046,paper_partition_evidence/mesh_archives/development_train_seed45_sample036_rectangle.npz,6703f40436e9306334650864b0637dff61e874e707f57c136cfb79fe73d2d7cf,2.195605739562887e-06,0.0008038585209003215,0.0054877632896680765,0.9137970520355782,0.5787226012009864,3.4246371488007603,99.36070271314125,parmetis_repaired,0.4413636354729533,,0.003398312721401453,0,0,0,0.0,16,42,43.8125,45,0.6551081335677849,0.014952539425227614,1.0271041369472182,272,0,0,{},62,31
