dataset,method,meshes,num_nodes_mean,num_nodes_sd,num_nodes_min,num_nodes_max,num_triangles_mean,num_triangles_sd,num_triangles_min,num_triangles_max,fine_undirected_edges_mean,fine_undirected_edges_sd,fine_undirected_edges_min,fine_undirected_edges_max,imbalance_ratio_mean,imbalance_ratio_sd,imbalance_ratio_min,imbalance_ratio_max,part_size_cv_mean,part_size_cv_sd,part_size_cv_min,part_size_cv_max,edgecut_mean,edgecut_sd,edgecut_min,edgecut_max,disconnected_part_count_mean,disconnected_part_count_sd,disconnected_part_count_min,disconnected_part_count_max,extra_component_count_mean,extra_component_count_sd,extra_component_count_min,extra_component_count_max,coarse_undirected_edges_mean,coarse_undirected_edges_sd,coarse_undirected_edges_min,coarse_undirected_edges_max,partition_seconds_mean,partition_seconds_sd,partition_seconds_min,partition_seconds_max,repair_seconds_mean,repair_seconds_sd,repair_seconds_min,repair_seconds_max,moved_unique_nodes_mean,moved_unique_nodes_sd,moved_unique_nodes_min,moved_unique_nodes_max,moved_fraction_mean,moved_fraction_sd,moved_fraction_min,moved_fraction_max,minimum_angle_deg_mean,minimum_angle_deg_sd,minimum_angle_deg_min,minimum_angle_deg_max,aspect_ratio_mean_mean,aspect_ratio_mean_sd,aspect_ratio_mean_min,aspect_ratio_mean_max,aspect_ratio_max_mean,aspect_ratio_max_sd,aspect_ratio_max_min,aspect_ratio_max_max,triangle_area_cv_mean,triangle_area_cv_sd,triangle_area_cv_min,triangle_area_cv_max,repair_sample_rate
development,bfs_connected,350,752.7942857142857,116.24782326669512,513.0,954.0,1335.0485714285714,231.53824821133293,859.0,1750.0,2086.9857142857145,347.5840684051661,1371.0,2703.0,1.3461620011259527,0.13456176471311293,1.1053864168618266,1.9285714285714286,0.23298504352060687,0.06312496472154205,0.08968872203806445,0.4714561055693811,394.2857142857143,47.973172677719276,291.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.417142857142856,1.2747235700756563,28.0,35.0,0.006530548263607281,0.005164091093317753,0.00404510460793972,0.04294597217813134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8195326886116034,0.6334914597105469,0.004956460455102275,2.825658931200245,3.534461864059406,1.026847713372157,2.9652318642733464,14.246751193277392,377.10510957249215,1206.152341952404,20.296971029257588,13381.882782735724,0.9227060631215455,0.04107793383991137,0.812921928174346,1.0658219641288373,
development,parmetis_raw,350,752.7942857142857,116.24782326669512,513.0,954.0,1335.0485714285714,231.53824821133293,859.0,1750.0,2086.9857142857145,347.5840684051661,1371.0,2703.0,1.0188801136046854,0.006888491830274577,1.0018416206261511,1.0467289719626167,0.015811110814010373,0.003886171223748016,0.007048968523102558,0.026918169673469456,277.1714285714286,26.420867105068837,216.0,329.0,0.07714285714285714,0.2878491668515698,0.0,2.0,0.07714285714285714,0.2878491668515698,0.0,2.0,31.597142857142856,2.3247744709035496,21.0,35.0,0.4443303535945181,0.004375633574985421,0.43409193493425846,0.4648832129314542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8195326886116034,0.6334914597105469,0.004956460455102275,2.825658931200245,3.534461864059406,1.026847713372157,2.9652318642733464,14.246751193277392,377.10510957249215,1206.152341952404,20.296971029257588,13381.882782735724,0.9227060631215455,0.04107793383991137,0.812921928174346,1.0658219641288373,
development,parmetis_repaired,350,752.7942857142857,116.24782326669512,513.0,954.0,1335.0485714285714,231.53824821133293,859.0,1750.0,2086.9857142857145,347.5840684051661,1371.0,2703.0,1.0386971425816045,0.08269514575843556,1.0018416206261511,1.48471615720524,0.022753914803096964,0.029497489818433215,0.007048968523102558,0.20199408190957677,276.65714285714284,26.411926255895626,216.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.52285714285714,2.2806757298421347,21.0,34.0,0.44887446559433425,0.0067176087250027505,0.4376687635667622,0.5053793843835592,0.004544111999816128,0.004500669714670427,0.0023394590243697166,0.05514648696407676,1.022857142857143,4.298269506809959,0.0,27.0,0.0013945162263378354,0.005862457675933533,0.0,0.048736462093862815,0.8195326886116034,0.6334914597105469,0.004956460455102275,2.825658931200245,3.534461864059406,1.026847713372157,2.9652318642733464,14.246751193277392,377.10510957249215,1206.152341952404,20.296971029257588,13381.882782735724,0.9227060631215455,0.04107793383991137,0.812921928174346,1.0658219641288373,0.07142857142857142
final_ood,bfs_connected,100,1303.34,166.7502348066737,1006.0,1628.0,2414.26,279.005869385422,1922.0,2956.0,3717.6,441.51792807096837,2927.0,4585.0,1.2934877496183856,0.13469863751759625,1.112807463952502,1.8138138138138138,0.20921168697942336,0.06701133140220754,0.09868244348107305,0.3642902817952905,554.92,47.95192879069073,444.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.36,1.2989506254175822,27.0,34.0,0.011100600040517748,0.006526981135904412,0.00772374402731657,0.04788759024813771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3533797447560682,0.38168880284820567,0.00021784114473632346,1.7548699024705903,6.4564424238229,14.557070400513608,3.0811444491414037,143.69376939398705,5659.283466217606,31977.741014570238,37.86815610708088,314411.38487911696,0.8960635641618028,0.022804799577493973,0.845786743850618,0.9509415153048241,
final_ood,parmetis_raw,100,1303.34,166.7502348066737,1006.0,1628.0,2414.26,279.005869385422,1922.0,2956.0,3717.6,441.51792807096837,2927.0,4585.0,1.0212309475862051,0.005584747152326466,1.0069071373752878,1.0330514988470407,0.014108019791041258,0.0037434811556993418,0.006291297477181642,0.02610643811120281,355.0,19.48788797632462,313.0,401.0,0.04,0.19694638556693236,0.0,1.0,0.04,0.19694638556693236,0.0,1.0,28.22,1.6671514446486078,23.0,32.0,0.44924994287546727,0.005729876972239356,0.43701562006026506,0.4694540239870548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3533797447560682,0.38168880284820567,0.00021784114473632346,1.7548699024705903,6.4564424238229,14.557070400513608,3.0811444491414037,143.69376939398705,5659.283466217606,31977.741014570238,37.86815610708088,314411.38487911696,0.8960635641618028,0.022804799577493973,0.845786743850618,0.9509415153048241,
final_ood,parmetis_repaired,100,1303.34,166.7502348066737,1006.0,1628.0,2414.26,279.005869385422,1922.0,2956.0,3717.6,441.51792807096837,2927.0,4585.0,1.0336163701933048,0.0662476172935114,1.0069071373752878,1.5136733185513673,0.018368726499009093,0.023341314503612223,0.006291297477181642,0.18426497848484163,354.56,19.644990622692,313.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.18,1.6537682712367823,23.0,32.0,0.45820511752273885,0.010641697907029254,0.44254362117499113,0.5088852914050221,0.008955174647271634,0.007725216473806035,0.004686108324676752,0.05543624563142657,1.13,6.009512661126725,0.0,42.0,0.0008247156560900624,0.004317264604857024,0.0,0.031042128603104215,0.3533797447560682,0.38168880284820567,0.00021784114473632346,1.7548699024705903,6.4564424238229,14.557070400513608,3.0811444491414037,143.69376939398705,5659.283466217606,31977.741014570238,37.86815610708088,314411.38487911696,0.8960635641618028,0.022804799577493973,0.845786743850618,0.9509415153048241,0.04
