dataset,split,shape,method,meshes,num_nodes_mean,num_nodes_sd,num_nodes_min,num_nodes_max,num_triangles_mean,num_triangles_sd,num_triangles_min,num_triangles_max,fine_undirected_edges_mean,fine_undirected_edges_sd,fine_undirected_edges_min,fine_undirected_edges_max,imbalance_ratio_mean,imbalance_ratio_sd,imbalance_ratio_min,imbalance_ratio_max,part_size_cv_mean,part_size_cv_sd,part_size_cv_min,part_size_cv_max,edgecut_mean,edgecut_sd,edgecut_min,edgecut_max,disconnected_part_count_mean,disconnected_part_count_sd,disconnected_part_count_min,disconnected_part_count_max,extra_component_count_mean,extra_component_count_sd,extra_component_count_min,extra_component_count_max,coarse_undirected_edges_mean,coarse_undirected_edges_sd,coarse_undirected_edges_min,coarse_undirected_edges_max,partition_seconds_mean,partition_seconds_sd,partition_seconds_min,partition_seconds_max,repair_seconds_mean,repair_seconds_sd,repair_seconds_min,repair_seconds_max,moved_unique_nodes_mean,moved_unique_nodes_sd,moved_unique_nodes_min,moved_unique_nodes_max,moved_fraction_mean,moved_fraction_sd,moved_fraction_min,moved_fraction_max,minimum_angle_deg_mean,minimum_angle_deg_sd,minimum_angle_deg_min,minimum_angle_deg_max,aspect_ratio_mean_mean,aspect_ratio_mean_sd,aspect_ratio_mean_min,aspect_ratio_mean_max,aspect_ratio_max_mean,aspect_ratio_max_sd,aspect_ratio_max_min,aspect_ratio_max_max,triangle_area_cv_mean,triangle_area_cv_sd,triangle_area_cv_min,triangle_area_cv_max,repair_sample_rate
development,test,annulus,bfs_connected,50,705.54,119.20128919998632,532.0,931.0,1231.88,232.55630347447968,905.0,1676.0,1937.42,351.7269981455643,1437.0,2607.0,1.4841287673013335,0.19274065905828347,1.2288401253918495,1.9285714285714286,0.2918483946952856,0.0804971888700614,0.13318325071998893,0.4714561055693811,360.04,42.745549953373235,291.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,1.1994896874104761,28.0,32.0,0.006071273228153587,0.004792424395777101,0.004114001058042049,0.03873790521174669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664714908280229,0.6862658097435803,0.00510542748770173,2.730676668191617,4.029221744976581,1.8479152539918502,3.0026241365427744,12.945965069639986,855.8109221865963,2102.499828300037,28.99300030831729,12118.600123174432,0.980761408492588,0.03633789595854901,0.9123311017427949,1.0658219641288373,
development,test,annulus,parmetis_raw,50,705.54,119.20128919998632,532.0,931.0,1231.88,232.55630347447968,905.0,1676.0,1937.42,351.7269981455643,1437.0,2607.0,1.0208078958046882,0.008374231988333114,1.0018416206261511,1.0467289719626167,0.015312090698608873,0.003946413373263162,0.007366482504604052,0.026515465262880063,258.02,25.228336837608552,216.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,1.8020396607110263,21.0,30.0,0.44380917252972724,0.004169428225165554,0.43794159963727,0.4586553731933236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664714908280229,0.6862658097435803,0.00510542748770173,2.730676668191617,4.029221744976581,1.8479152539918502,3.0026241365427744,12.945965069639986,855.8109221865963,2102.499828300037,28.99300030831729,12118.600123174432,0.980761408492588,0.03633789595854901,0.9123311017427949,1.0658219641288373,
development,test,annulus,parmetis_repaired,50,705.54,119.20128919998632,532.0,931.0,1231.88,232.55630347447968,905.0,1676.0,1937.42,351.7269981455643,1437.0,2607.0,1.0208078958046882,0.008374231988333114,1.0018416206261511,1.0467289719626167,0.015312090698608873,0.003946413373263162,0.007366482504604052,0.026515465262880063,258.02,25.228336837608552,216.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,1.8020396607110263,21.0,30.0,0.4482939403411001,0.007498210834154958,0.44073290191590786,0.4880871130153537,0.004484767811372876,0.005419974561748235,0.00241330498829484,0.04114467604085803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664714908280229,0.6862658097435803,0.00510542748770173,2.730676668191617,4.029221744976581,1.8479152539918502,3.0026241365427744,12.945965069639986,855.8109221865963,2102.499828300037,28.99300030831729,12118.600123174432,0.980761408492588,0.03633789595854901,0.9123311017427949,1.0658219641288373,0.0
development,test,l_shape,bfs_connected,50,765.84,112.50185667402135,573.0,943.0,1373.9,224.8932853508934,989.0,1727.0,2138.74,337.39432570867007,1561.0,2669.0,1.2664776033085006,0.10095999825089252,1.1066822977725674,1.5771428571428572,0.19317461370598668,0.04296780456675078,0.10604527483841086,0.31323460595430214,392.78,43.05539384067355,305.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.62,0.752953368748825,30.0,34.0,0.005848045870661736,0.0008547482784193729,0.004259941633790731,0.007159550208598375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742016969620001,0.7048628334990691,0.004956460455102275,2.122155174147243,3.9811305862614654,1.7704218692439169,2.985356197144584,14.246751193277392,964.753070905981,2210.4102972547703,28.538903707058303,13381.882782735724,0.9117340302604451,0.035504311034376033,0.8491494397481382,1.001007928962742,
development,test,l_shape,parmetis_raw,50,765.84,112.50185667402135,573.0,943.0,1373.9,224.8932853508934,989.0,1727.0,2138.74,337.39432570867007,1561.0,2669.0,1.0183513862647993,0.006920191073705233,1.0049586776859505,1.0296010296010296,0.015363990876956208,0.0033088697381708845,0.009389050536260404,0.02535733082677728,275.9,24.302725134840163,234.0,317.0,0.06,0.2398979374820952,0.0,1.0,0.06,0.2398979374820952,0.0,1.0,30.72,0.83397254396151,29.0,33.0,0.4453101109340787,0.005539216832225123,0.43627525586634874,0.4648832129314542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742016969620001,0.7048628334990691,0.004956460455102275,2.122155174147243,3.9811305862614654,1.7704218692439169,2.985356197144584,14.246751193277392,964.753070905981,2210.4102972547703,28.538903707058303,13381.882782735724,0.9117340302604451,0.035504311034376033,0.8491494397481382,1.001007928962742,
development,test,l_shape,parmetis_repaired,50,765.84,112.50185667402135,573.0,943.0,1373.9,224.8932853508934,989.0,1727.0,2138.74,337.39432570867007,1561.0,2669.0,1.0292589057602752,0.04629214510548593,1.0049586776859505,1.2746730083234246,0.01873803654425638,0.014248413065774795,0.009389050536260404,0.0918911316083921,275.48,23.889405046367056,234.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,0.8390957231764808,29.0,33.0,0.4502094084490091,0.008025957825735319,0.4395227408967912,0.48504730267450213,0.004899297514930368,0.005483054118711257,0.002693501766771078,0.04083202360197902,0.64,2.593240821671538,0.0,13.0,0.0007255157988740791,0.0029632812253596232,0.0,0.015457788347205707,0.742016969620001,0.7048628334990691,0.004956460455102275,2.122155174147243,3.9811305862614654,1.7704218692439169,2.985356197144584,14.246751193277392,964.753070905981,2210.4102972547703,28.538903707058303,13381.882782735724,0.9117340302604451,0.035504311034376033,0.8491494397481382,1.001007928962742,0.06
development,train,rectangle,bfs_connected,100,766.04,106.65311656359262,561.0,954.0,1374.04,213.3118322498257,964.0,1750.0,2139.08,319.9649185315619,1524.0,2703.0,1.3422674736663345,0.09655003972604577,1.118279569892473,1.5971479500891266,0.2308039013928259,0.04876454263279312,0.11973451739142747,0.35139099674501834,406.98,43.818722072196536,303.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.18,0.8805416147766868,30.0,35.0,0.007581032025627792,0.007627297462195799,0.0044149900786578655,0.04294597217813134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7444105602130858,0.5735727268754958,0.056309176479624634,2.3955241548377835,3.414262450383779,0.30040125628206493,2.9724900548317406,5.137397191654321,225.82368004318053,284.26230017928054,24.315355273838794,2007.7382292833026,0.9258201988786279,0.030912647762215223,0.8582506804339682,1.0077188085094455,
development,train,rectangle,parmetis_raw,100,766.04,106.65311656359262,561.0,954.0,1374.04,213.3118322498257,964.0,1750.0,2139.08,319.9649185315619,1524.0,2703.0,1.0190918779264528,0.006564415845062689,1.0033898305084745,1.0348258706467661,0.015911131783755063,0.004147639308622133,0.008602150537634409,0.026918169673469456,281.85,23.959298399535406,237.0,329.0,0.03,0.1714466079977653,0.0,1.0,0.03,0.1714466079977653,0.0,1.0,32.8,0.6356417261637282,31.0,35.0,0.44355772161856294,0.003947782068921482,0.43614059407263994,0.4571455158293247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7444105602130858,0.5735727268754958,0.056309176479624634,2.3955241548377835,3.414262450383779,0.30040125628206493,2.9724900548317406,5.137397191654321,225.82368004318053,284.26230017928054,24.315355273838794,2007.7382292833026,0.9258201988786279,0.030912647762215223,0.8582506804339682,1.0077188085094455,
development,train,rectangle,parmetis_repaired,100,766.04,106.65311656359262,561.0,954.0,1374.04,213.3118322498257,964.0,1750.0,2139.08,319.9649185315619,1524.0,2703.0,1.0297581078695477,0.06343108988514229,1.0033898305084745,1.4313099041533546,0.019688457572371563,0.022406090814320344,0.008602150537634409,0.16402362166666842,281.61,24.18192621681647,235.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76,0.5880974288828219,31.0,34.0,0.4480750007322058,0.005366690261830982,0.4398680911399424,0.47898616688326,0.004517279113642871,0.003495267475189206,0.0025200359523296356,0.036663070786744356,0.49,2.879727119507729,0.0,20.0,0.0007265212141264152,0.004274833211697197,0.0,0.02875399361022364,0.7444105602130858,0.5735727268754958,0.056309176479624634,2.3955241548377835,3.414262450383779,0.30040125628206493,2.9724900548317406,5.137397191654321,225.82368004318053,284.26230017928054,24.315355273838794,2007.7382292833026,0.9258201988786279,0.030912647762215223,0.8582506804339682,1.0077188085094455,0.03
development,train,wavy,bfs_connected,100,748.92,117.01676302258079,513.0,916.0,1313.61,228.73428168108433,859.0,1640.0,2061.53,345.7270323667082,1371.0,2555.0,1.3270330261092778,0.11022078283457624,1.1053864168618266,1.6179775280898876,0.23186005835049475,0.05775134909212858,0.08968872203806445,0.39067771796377926,395.21,47.768654402592745,307.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.64,0.9589556609124112,29.0,35.0,0.006382564031518996,0.004687279697888515,0.00404510460793972,0.03941189870238304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379856791521856,0.6015131703800686,0.05413836080406451,2.6411090113616464,3.3003891570231754,0.2025847141688742,2.9652318642733464,3.9766996796022096,120.15796213422547,135.51912877469772,22.29784186955931,1089.9636478918485,0.9055486841673484,0.030797051281160257,0.812921928174346,0.9888089117555071,
