dataset,seed,shape,method,meshes,num_nodes_mean,num_nodes_sd,num_nodes_min,num_nodes_max,num_triangles_mean,num_triangles_sd,num_triangles_min,num_triangles_max,fine_undirected_edges_mean,fine_undirected_edges_sd,fine_undirected_edges_min,fine_undirected_edges_max,imbalance_ratio_mean,imbalance_ratio_sd,imbalance_ratio_min,imbalance_ratio_max,part_size_cv_mean,part_size_cv_sd,part_size_cv_min,part_size_cv_max,edgecut_mean,edgecut_sd,edgecut_min,edgecut_max,disconnected_part_count_mean,disconnected_part_count_sd,disconnected_part_count_min,disconnected_part_count_max,extra_component_count_mean,extra_component_count_sd,extra_component_count_min,extra_component_count_max,coarse_undirected_edges_mean,coarse_undirected_edges_sd,coarse_undirected_edges_min,coarse_undirected_edges_max,partition_seconds_mean,partition_seconds_sd,partition_seconds_min,partition_seconds_max,repair_seconds_mean,repair_seconds_sd,repair_seconds_min,repair_seconds_max,moved_unique_nodes_mean,moved_unique_nodes_sd,moved_unique_nodes_min,moved_unique_nodes_max,moved_fraction_mean,moved_fraction_sd,moved_fraction_min,moved_fraction_max,minimum_angle_deg_mean,minimum_angle_deg_sd,minimum_angle_deg_min,minimum_angle_deg_max,aspect_ratio_mean_mean,aspect_ratio_mean_sd,aspect_ratio_mean_min,aspect_ratio_mean_max,aspect_ratio_max_mean,aspect_ratio_max_sd,aspect_ratio_max_min,aspect_ratio_max_max,triangle_area_cv_mean,triangle_area_cv_sd,triangle_area_cv_min,triangle_area_cv_max,repair_sample_rate
development,41,annulus,bfs_connected,10,744.4,152.0081869140241,560.0,931.0,1308.3,297.8922437541617,942.0,1676.0,2052.7,449.86789418919665,1502.0,2607.0,1.5195456594909644,0.1576810890532618,1.2857142857142858,1.8009787928221859,0.3176422064155847,0.0715106882505219,0.21180842561962482,0.41189319392355567,364.1,48.00104165536411,301.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,0.6749485577105528,30.0,32.0,0.005778223602101206,0.001181415737008941,0.004279129672795534,0.007190281059592962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5644343639188266,0.5434414893254899,0.012696319939127029,1.7563038115803324,4.328049661778463,2.3905672231574817,3.1317972484274126,10.769082429233496,965.3186557684403,2012.0166806669679,32.95742777956531,6447.9853746811505,0.9878465846212603,0.035674312122646976,0.9339496459808375,1.037072435082091,
development,41,annulus,parmetis_raw,10,744.4,152.0081869140241,560.0,931.0,1308.3,297.8922437541617,942.0,1676.0,2052.7,449.86789418919665,1502.0,2607.0,1.0187755278888435,0.0067009047701881985,1.0074962518740629,1.0285714285714285,0.013597547448525977,0.0027754639144073182,0.010636949851252842,0.02086562123829204,265.7,33.08591509657513,221.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1.66332999331662,23.0,28.0,0.4439425959251821,0.003292460469781179,0.43797799199819565,0.44863031106069684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5644343639188266,0.5434414893254899,0.012696319939127029,1.7563038115803324,4.328049661778463,2.3905672231574817,3.1317972484274126,10.769082429233496,965.3186557684403,2012.0166806669679,32.95742777956531,6447.9853746811505,0.9878465846212603,0.035674312122646976,0.9339496459808375,1.037072435082091,
development,41,annulus,parmetis_repaired,10,744.4,152.0081869140241,560.0,931.0,1308.3,297.8922437541617,942.0,1676.0,2052.7,449.86789418919665,1502.0,2607.0,1.0187755278888435,0.0067009047701881985,1.0074962518740629,1.0285714285714285,0.013597547448525977,0.0027754639144073182,0.010636949851252842,0.02086562123829204,265.7,33.08591509657513,221.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1.66332999331662,23.0,28.0,0.44779755608178673,0.003584843516922525,0.44073290191590786,0.45167052233591676,0.003854960156604648,0.0009977272757945156,0.0024730581790208817,0.005197952035814524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5644343639188266,0.5434414893254899,0.012696319939127029,1.7563038115803324,4.328049661778463,2.3905672231574817,3.1317972484274126,10.769082429233496,965.3186557684403,2012.0166806669679,32.95742777956531,6447.9853746811505,0.9878465846212603,0.035674312122646976,0.9339496459808375,1.037072435082091,0.0
development,41,l_shape,bfs_connected,10,778.8,106.61957293730515,605.0,916.0,1399.5,212.76447594046854,1053.0,1671.0,2177.3,319.3827553961617,1657.0,2586.0,1.2625165086657788,0.08162526445932175,1.1576227390180878,1.3793103448275863,0.20192735308367626,0.02501305796771432,0.15056419832252316,0.24925415231785517,403.6,32.95518842981245,353.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0.9944289260117531,31.0,34.0,0.005931064207106829,0.0008461642272645708,0.004739129915833473,0.007159550208598375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42638523845930393,0.5785272181980357,0.031543292178182955,1.6772518402858543,3.991881708587804,0.9085733850995165,3.0314005945738707,6.073186092936173,828.1259483641136,958.4800823541233,41.797449251302986,3339.3274337435755,0.9028741980150226,0.03192887654214072,0.8617439467746302,0.9433523479395195,
development,41,l_shape,parmetis_raw,10,778.8,106.61957293730515,605.0,916.0,1399.5,212.76447594046854,1053.0,1671.0,2177.3,319.3827553961617,1657.0,2586.0,1.0164130993555804,0.007937343463121534,1.0049586776859505,1.0282776349614395,0.013417558623693126,0.0020997979303077705,0.010084720859207436,0.01658047865973995,278.7,22.662009325447436,238.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.7378647873726218,30.0,32.0,0.4442132718395442,0.004780548677353725,0.43815569020807743,0.4527691160328686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42638523845930393,0.5785272181980357,0.031543292178182955,1.6772518402858543,3.991881708587804,0.9085733850995165,3.0314005945738707,6.073186092936173,828.1259483641136,958.4800823541233,41.797449251302986,3339.3274337435755,0.9028741980150226,0.03192887654214072,0.8617439467746302,0.9433523479395195,
development,41,l_shape,parmetis_repaired,10,778.8,106.61957293730515,605.0,916.0,1399.5,212.76447594046854,1053.0,1671.0,2177.3,319.3827553961617,1657.0,2586.0,1.0164130993555804,0.007937343463121534,1.0049586776859505,1.0282776349614395,0.013417558623693126,0.0020997979303077705,0.010084720859207436,0.01658047865973995,278.7,22.662009325447436,238.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.7378647873726218,30.0,32.0,0.4482907200232148,0.005647819724147102,0.4416222060099244,0.45742417220026255,0.00407744818367064,0.0012016061675415009,0.0027755326591432095,0.007056924048811197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42638523845930393,0.5785272181980357,0.031543292178182955,1.6772518402858543,3.991881708587804,0.9085733850995165,3.0314005945738707,6.073186092936173,828.1259483641136,958.4800823541233,41.797449251302986,3339.3274337435755,0.9028741980150226,0.03192887654214072,0.8617439467746302,0.9433523479395195,0.0
development,41,rectangle,bfs_connected,25,775.56,120.13952999186682,570.0,951.0,1393.04,240.26920318675886,982.0,1744.0,2167.6,360.40868006565364,1551.0,2694.0,1.3436115659502437,0.1165813843969498,1.118279569892473,1.5335463258785942,0.23565206344764714,0.052809044718020094,0.1227341588659796,0.35139099674501834,407.88,51.892774063447405,303.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,0.9574271077563382,31.0,35.0,0.008743570931255818,0.009785268057267727,0.004550169687718153,0.04176901001483202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7415135802349873,0.5689566972698967,0.056309176479624634,2.394763420640075,3.4595502259488704,0.4221971574133551,3.0821611183224595,5.137397191654321,286.0821410628759,440.4660787642937,24.315355273838794,2007.7382292833026,0.922421875757678,0.03292292992268456,0.8666869528993666,0.9991201695608595,
development,41,rectangle,parmetis_raw,25,775.56,120.13952999186682,570.0,951.0,1393.04,240.26920318675886,982.0,1744.0,2167.6,360.40868006565364,1551.0,2694.0,1.0197029663410442,0.0059617142364745915,1.0105263157894737,1.029797377830751,0.016250756939500524,0.004180594431077703,0.008602150537634409,0.026025924317437294,283.08,26.068691310970458,240.0,320.0,0.12,0.33166247903553997,0.0,1.0,0.12,0.33166247903553997,0.0,1.0,33.0,0.5773502691896257,32.0,34.0,0.4455731395632029,0.003514172094055726,0.4396192147396505,0.4532420989125967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7415135802349873,0.5689566972698967,0.056309176479624634,2.394763420640075,3.4595502259488704,0.4221971574133551,3.0821611183224595,5.137397191654321,286.0821410628759,440.4660787642937,24.315355273838794,2007.7382292833026,0.922421875757678,0.03292292992268456,0.8666869528993666,0.9991201695608595,
development,41,rectangle,parmetis_repaired,25,775.56,120.13952999186682,570.0,951.0,1393.04,240.26920318675886,982.0,1744.0,2167.6,360.40868006565364,1551.0,2694.0,1.0623052118238718,0.12041349260057105,1.0105263157894737,1.4313099041533546,0.03098804201987572,0.04182858905557633,0.008602150537634409,0.16402362166666842,282.08,27.208944607732708,235.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.92,0.5715476066494082,32.0,34.0,0.44987349197268484,0.0038016701913546652,0.44276103377342224,0.45779581693932414,0.0043003524094820025,0.0012217515885470601,0.0030059549026191235,0.007564072031527758,1.76,4.968903299521937,0.0,18.0,0.002790435869833274,0.007942774356893657,0.0,0.02875399361022364,0.7415135802349873,0.5689566972698967,0.056309176479624634,2.394763420640075,3.4595502259488704,0.4221971574133551,3.0821611183224595,5.137397191654321,286.0821410628759,440.4660787642937,24.315355273838794,2007.7382292833026,0.922421875757678,0.03292292992268456,0.8666869528993666,0.9991201695608595,0.12
development,41,wavy,bfs_connected,25,754.28,118.42526475939724,542.0,916.0,1323.72,230.83643559888893,903.0,1640.0,2077.0,349.23678691302456,1444.0,2555.0,1.3186370180231248,0.10533553796299652,1.1587057010785824,1.546572934973638,0.23109852467345796,0.056668627577889596,0.13810230630710824,0.3326650353489793,396.0,45.67731019517969,307.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.92,1.0770329614269007,31.0,35.0,0.005774757750332355,0.0008372981316028459,0.0043013738468289375,0.0070939878933131695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0066679474890134,0.6651550521976978,0.11165826317185142,2.6411090113616464,3.308493038227515,0.24313466590541405,2.9652318642733464,3.9712769450817196,115.10805830427142,114.28277585599982,22.30249502413425,513.9552779763004,0.9081806945350535,0.031401933334754294,0.8539303376709936,0.9737960566466891,
